task,class0,class1,rep,method,family,r,acc,kernel
CIFAR100: clock vs tractor,clock,tractor,1,MY-large_mu,MY-large_mu,4,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,1,MY-large_mu,MY-large_mu,5,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,1,MY-large_mu,MY-large_mu,6,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,1,MY-large_mu,MY-large_mu,32,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,1,MY-large_mu,MY-large_mu,64,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,1,MY-small_mu,MY-small_mu,1,0.5,linear
CIFAR100: clock vs tractor,clock,tractor,1,MY-small_mu,MY-small_mu,2,0.5,linear
CIFAR100: clock vs tractor,clock,tractor,1,MY-small_mu,MY-small_mu,3,0.5,linear
CIFAR100: clock vs tractor,clock,tractor,1,MY-small_mu,MY-small_mu,4,0.5,linear
CIFAR100: clock vs tractor,clock,tractor,1,MY-small_mu,MY-small_mu,5,0.5,linear
CIFAR100: clock vs tractor,clock,tractor,1,MY-small_mu,MY-small_mu,6,0.5,linear
CIFAR100: clock vs tractor,clock,tractor,1,MY-small_mu,MY-small_mu,32,0.5,linear
CIFAR100: clock vs tractor,clock,tractor,1,MY-small_mu,MY-small_mu,64,0.5,linear
CIFAR100: clock vs tractor,clock,tractor,0,KFDA,KFDA,1,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,0,KFDA,KFDA,2,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,0,KFDA,KFDA,3,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,0,KFDA,KFDA,4,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,0,KFDA,KFDA,5,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,0,KFDA,KFDA,6,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,0,KFDA,KFDA,32,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,0,KFDA,KFDA,64,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,1,KFDA,KFDA,1,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,1,KFDA,KFDA,2,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,1,KFDA,KFDA,3,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,1,KFDA,KFDA,4,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,1,KFDA,KFDA,5,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,1,KFDA,KFDA,6,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,1,KFDA,KFDA,32,1.0,linear
CIFAR100: clock vs tractor,clock,tractor,1,KFDA,KFDA,64,1.0,linear
